Name,Header,Library,Source,Specification
mkdir,sys/stat.h,libc,,POSIX&UNIX
mkdirat,sys/stat.h,,,
mkdtemp,,,,
mkfifo,sys/stat.h,libc,,POSIX&UNIX
mkfifoat,sys/stat.h,,,
mknod,sys/stat.h,libc,,UNIX
mknodat,sys/stat.h,libc,,
mkstemp,stdlib.h,,,
mktime,time.h,libc,,C89
mlock,sys/mman.h,libc,,
mlockall,sys/mman.h,libc,,
mmap,sys/mman.h,libc,,
modf,math.h,libm,,C89
modff,math.h,libm,,C99
modfl,math.h,libm,,C99
mprotect,sys/mman.h,libc,,
mq_close,,librt,,
mq_getattr,,librt,,
mq_notify,,librt,,
mq_open,,librt,,
mq_receive,,librt,,
mq_send,,librt,,
mq_setattr,,librt,,
mq_timedreceive,,librt,,
mq_timedsend,,librt,,
mq_unlink,,librt,,
mrand48,stdlib.h,libc,xopen/rand48.c,UNIX
msgctl,sys\msg.h,,,UNIX
msgget,sys\msg.h,,,UNIX
msgrcv,sys\msg.h,,,UNIX
msgsnd,sys\msg.h,,,UNIX
msync,sys/mman.h,libc,,UNIX
munlock,sys/mman.h,libc,,
munlockall,sys/mman.h,libc,,
munmap,sys/mman.h,libc,,
nan,math.h,libm,,C99
nanf,math.h,libm,,C99
nanl,math.h,libm,,C99
nanosleep,time.h,libc,,
nearbyint,math.h,libm,,C99
nearbyintf,math.h,libm,,C99
nearbyintl,math.h,libm,,C99
newlocale,locale.h,libc,,
nextafter,math.h,libm,,C99
nextafterf,math.h,libm,,C99
nextafterl,math.h,libm,,C99
nexttoward,math.h,libm,,C99
nexttowardf,math.h,libm,,C99
nexttowardl,math.h,libm,,C99
nftw,,,,UNIX
nice,unistd.h,libc,,UNIX
nl_langinfo,,,,
nl_langinfo_l,,,,
nrand48,stdlib.h,libc,xopen/rand48.c,UNIX
ntohl,,,,POSIX&UNIX
ntohs,,,,POSIX&UNIX
open,fcntl.h,libc,,POSIX&UNIX
open_memstream,,,,
open_wmemstream,,,,
openat,fcntl.h,libc,,
opendir,dirent.h,libc,,POSIX&UNIX
openlog,syslog.h,,,UNIX
optarg,,,,POSIX&UNIX
opterr,,,,POSIX&UNIX
optind,,,,POSIX&UNIX
optopt,,,,POSIX&UNIX
pathconf,unistd.h,libc,,POSIX&UNIX
pause,unistd.h,libc,,POSIX&UNIX
pclose,stdio.h,,,POSIX&UNIX
perror,stdio.h,libc,,C89
pipe,unistd.h,libc,,POSIX&UNIX
poll,,,,
popen,stdio.h,,,POSIX&UNIX
posix_fadvise,fcntl.h,libc,,
posix_fallocate,fcntl.h,libc,,
posix_madvise,,,,
posix_mem_offset,,,,
posix_memalign,,,,
posix_openpt,,,,
posix_spawn,,,,
posix_spawn_file_actions_addclose,,,,
posix_spawn_file_actions_adddup2,,,,
posix_spawn_file_actions_addopen,,,,
posix_spawn_file_actions_destroy,,,,
posix_spawn_file_actions_init,,,,
posix_spawnattr_destroy,,,,
posix_spawnattr_getflags,,,,
posix_spawnattr_getpgroup,,,,
posix_spawnattr_getschedparam,,,,
posix_spawnattr_getschedpolicy,,,,
posix_spawnattr_getsigdefault,,,,
posix_spawnattr_getsigmask,,,,
posix_spawnattr_init,,,,
posix_spawnattr_setflags,,,,
posix_spawnattr_setpgroup,,,,
posix_spawnattr_setschedparam,,,,
posix_spawnattr_setschedpolicy,,,,
posix_spawnattr_setsigdefault,,,,
posix_spawnattr_setsigmask,,,,
posix_spawnp,,,,
posix_trace_attr_destroy,,,,
posix_trace_attr_getclockres,,,,
posix_trace_attr_getcreatetime,,,,
posix_trace_attr_getgenversion,,,,
posix_trace_attr_getinherited,,,,
posix_trace_attr_getlogfullpolicy,,,,
posix_trace_attr_getlogsize,,,,
posix_trace_attr_getmaxdatasize,,,,
posix_trace_attr_getmaxsystemeventsize,,,,
posix_trace_attr_getmaxusereventsize,,,,
posix_trace_attr_getname,,,,
posix_trace_attr_getstreamfullpolicy,,,,
posix_trace_attr_getstreamsize,,,,
posix_trace_attr_init,,,,
posix_trace_attr_setinherited,,,,
posix_trace_attr_setlogfullpolicy,,,,
posix_trace_attr_setlogsize,,,,
posix_trace_attr_setmaxdatasize,,,,
posix_trace_attr_setname,,,,
posix_trace_attr_setstreamfullpolicy,,,,
posix_trace_attr_setstreamsize,,,,
posix_trace_clear,,,,
posix_trace_close,,,,
posix_trace_create,,,,
posix_trace_create_withlog,,,,
posix_trace_event,,,,
posix_trace_eventid_equal,,,,
posix_trace_eventid_get_name,,,,
posix_trace_eventid_open,,,,
posix_trace_eventset_add,,,,
posix_trace_eventset_del,,,,
posix_trace_eventset_empty,,,,
posix_trace_eventset_fill,,,,
posix_trace_eventset_ismember,,,,
posix_trace_eventtypelist_getnext_id,,,,
posix_trace_eventtypelist_rewind,,,,
posix_trace_flush,,,,
posix_trace_get_attr,,,,
posix_trace_get_filter,,,,
posix_trace_get_status,,,,
posix_trace_getnext_event,,,,
posix_trace_open,,,,
posix_trace_rewind,,,,
posix_trace_set_filter,,,,
posix_trace_shutdown,,,,
posix_trace_start,,,,
posix_trace_stop,,,,
posix_trace_timedgetnext_event,,,,
posix_trace_trid_eventid_open,,,,
posix_trace_trygetnext_event,,,,
posix_typed_mem_get_info,,,,
posix_typed_mem_open,,,,
pow,math.h,libm,,C89
powf,math.h,libm,,C99
powl,math.h,libm,,C99
pread,unistd.h,,,
printf,stdio.h,libc,,C89
pselect,,,,
psiginfo,,,,
psignal,,,,
pthread_atfork,pthread.h,libpthread,,
pthread_attr_destroy,pthread.h,libpthread,,
pthread_attr_getdetachstate,pthread.h,libpthread,,
pthread_attr_getguardsize,pthread.h,libpthread,,
pthread_attr_getinheritsched,pthread.h,libpthread,,
pthread_attr_getschedparam,pthread.h,libpthread,,
pthread_attr_getschedpolicy,pthread.h,libpthread,,
pthread_attr_getscope,pthread.h,libpthread,,
pthread_attr_getstack,pthread.h,libpthread,,
pthread_attr_getstacksize,pthread.h,libpthread,,UNIX
pthread_attr_init,pthread.h,libpthread,,
pthread_attr_setdetachstate,pthread.h,libpthread,,
pthread_attr_setguardsize,pthread.h,libpthread,,
pthread_attr_setinheritsched,pthread.h,libpthread,,
pthread_attr_setschedparam,pthread.h,libpthread,,
pthread_attr_setschedpolicy,pthread.h,libpthread,,
pthread_attr_setscope,pthread.h,libpthread,,
pthread_attr_setstack,pthread.h,libpthread,,
pthread_attr_setstacksize,pthread.h,libpthread,,UNIX
pthread_barrier_destroy,pthread.h,libpthread,,
pthread_barrier_init,pthread.h,libpthread,,
pthread_barrier_wait,pthread.h,libpthread,,
pthread_barrierattr_destroy,pthread.h,libpthread,,
pthread_barrierattr_getpshared,pthread.h,libpthread,,
pthread_barrierattr_init,pthread.h,libpthread,,
pthread_barrierattr_setpshared,pthread.h,libpthread,,
pthread_cancel,pthread.h,libpthread,,
pthread_cleanup_pop,pthread.h,libpthread,,
pthread_cleanup_push,pthread.h,libpthread,,
pthread_cond_broadcast,pthread.h,libpthread,,
pthread_cond_destroy,pthread.h,libpthread,,
pthread_cond_init,pthread.h,libpthread,,
pthread_cond_signal,pthread.h,libpthread,,
pthread_cond_timedwait,pthread.h,libpthread,,
pthread_cond_wait,pthread.h,libpthread,,
pthread_condattr_destroy,pthread.h,libpthread,,
pthread_condattr_getclock,pthread.h,libpthread,,
pthread_condattr_getpshared,pthread.h,libpthread,,UNIX
pthread_condattr_init,pthread.h,libpthread,,
pthread_condattr_setclock,pthread.h,libpthread,,
pthread_condattr_setpshared,pthread.h,libpthread,,UNIX
pthread_create,pthread.h,libpthread,,
pthread_detach,pthread.h,libpthread,,
pthread_equal,pthread.h,libpthread,,
pthread_exit,pthread.h,libpthread,,
pthread_getconcurrency,pthread.h,libpthread,,UNIX
pthread_getcpuclockid,pthread.h,libpthread,,
pthread_getschedparam,pthread.h,libpthread,,
pthread_getspecific,pthread.h,libpthread,,
pthread_join,pthread.h,libpthread,,
pthread_key_create,pthread.h,libpthread,,
pthread_key_delete,pthread.h,libpthread,,
pthread_kill,pthread.h,libpthread,,
pthread_mutex_consistent,pthread.h,libpthread,,
pthread_mutex_destroy,pthread.h,libpthread,,
pthread_mutex_getprioceiling,pthread.h,libpthread,,
